,0
1999-01-15,
1999-02-15,
1999-03-15,
1999-04-15,1.9378421041358778
1999-05-15,1.4320324701749874
1999-06-15,1.265697112810298
1999-07-15,1.305275943338228
1999-08-15,
1999-09-15,
1999-10-15,2.4200034954700254
1999-11-15,3.1246335396631606
1999-12-15,5.873741745022026
2000-01-15,5.391022987700043
2000-02-15,3.788475650692291
2000-03-15,3.3628818143943557
2000-04-15,2.46453163486046
2000-05-15,1.4642415461540639
2000-06-15,1.4986952117359709
2000-07-15,1.6832950480841309
2000-08-15,2.4365961924571025
2000-09-15,
2000-10-15,3.3416523917522007
2000-11-15,4.099885542353799
2000-12-15,6.7087655714765075
2001-01-15,4.6496555899400205
2001-02-15,5.528715136327614
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,1.1402613285070713
2001-07-15,1.428200579008617
2001-08-15,
2001-09-15,1.942308994409818
2001-10-15,2.0044075278259688
2001-11-15,6.3643332969221875
2001-12-15,4.5159384808698695
2002-01-15,9.25114324840969
2002-02-15,9.74457743794041
2002-03-15,2.7850184997179914
2002-04-15,2.114437545603175
2002-05-15,1.608652633520778
2002-06-15,1.2923764595515002
2002-07-15,1.5090587801644237
2002-08-15,2.280632139618897
2002-09-15,2.4379586426495896
2002-10-15,3.8227806496176826
2002-11-15,6.767338765019599
2002-12-15,11.04962017716406
2003-01-15,5.349567287037978
2003-02-15,2.65948887318212
2003-03-15,2.8131025536857135
2003-04-15,2.489634432093212
2003-05-15,1.673015847971169
2003-06-15,1.234820978221292
2003-07-15,1.0499734965547594
2003-08-15,1.1664376240072118
2003-09-15,1.939155895392919
2003-10-15,2.4678254972263276
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,4.6973090482521815
2004-03-15,3.113473377372166
2004-04-15,3.633946616976161
2004-05-15,2.372240826222106
2004-06-15,1.8398942738118187
2004-07-15,1.19343102575104
2004-08-15,1.792901262230034
2004-09-15,1.9953771005649268
2004-10-15,3.5420447995279676
2004-11-15,5.121048837342129
2004-12-15,9.453045947135436
2005-01-15,6.898262301820073
2005-02-15,3.5502041546188603
2005-03-15,3.3882994371817907
2005-04-15,2.9709564567909177
2005-05-15,2.3849690619489246
2005-06-15,1.4842775691633283
2005-07-15,1.7288327482677068
2005-08-15,1.916586838441603
2005-09-15,
2005-10-15,2.2553875699809103
2005-11-15,5.081416134421384
2005-12-15,9.960471921056827
2006-01-15,6.621648698836985
2006-02-15,8.413096920045408
2006-03-15,5.246826691719194
2006-04-15,3.1636886274622764
2006-05-15,2.1482712021689157
2006-06-15,1.4842775691633283
2006-07-15,1.7288327482677068
2006-08-15,1.916586838441603
2006-09-15,
2006-10-15,2.4492459460299756
2006-11-15,5.109399888196363
2006-12-15,9.960471921056827
